,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,"項目
Mục","観点
Giải thích",S01,"教師FB
Phản hồi của giáo viên",S02,"教師FB
Phản hồi của giáo viên",S03,"教師FB
Phản hồi của giáo viên",,,,,,,,,,,,,,,,,
,1,"スプリントバックログ
Sprint Backlog","進捗と実績に空欄がないか
Có đảm bảo các mục “Tiến độ” và “Thực tế” không bị để trống không?",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,2,"進捗
Tiến độ","以下の定義に沿って正しく入力されているか
・開発完了・テスト完了・バグ無し：100%
・開発完了・テスト未完了：80%
・開発一部未完了：60%
・開発半分未完了：40%
・開発大半未完了：20%
・開発未着手：0%
Có được điền đúng theo định nghĩa sau không:
・Hoàn tất dev – hoàn tất test – không có bug: 100%
・Hoàn tất dev – test chưa xong: 80%
・Một phần dev chưa xong: 60%
・Một nửa dev chưa xong: 40%
・Phần lớn dev chưa xong: 20%
・Chưa bắt đầu dev: 0%",False,,False,,False,,,,,,,,,,,,,,,,,,
,3,"問題点
Vấn đề","以下のいずれかに該当するケースで空欄がないか
・進捗が100%以外
・見積もりに対して実績が超過
・開発中にPOTに問い合わせをしたもの
Có điền đầy đủ các trường hợp thuộc một trong các loại sau không:
・Tiến độ khác 100%
・Thực tế vượt quá ước lượng ban đầu
・Trong quá trình dev phải hỏi POT",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,4,"原因
Nguyên nhân","問題点に対して複数の観点で原因分析をしたか
※問題点がない項目では空欄でOK
Đã phân tích nguyên nhân của vấn đề từ nhiều góc độ chưa
※ Những mục không có vấn đề thì có thể để trống",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,5,"対策
Giải pháp
","原因に対する対策になっており、具体的で実現可能か
※「努力する」「気をつける」などは具体的ではない
※問題点がない項目では空欄でOK
Giải pháp có phù hợp với nguyên nhân, mang tính cụ thể và khả thi không
※ Không chấp nhận các mô tả chung chung như “cố gắng hơn”, “chú ý hơn”
※ Những mục không có vấn đề thì có thể để trống",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,6,"問題点への対応状況
Tình trạng xử lý vấn đề","問題点がある項目で、空欄になっていないか
※問題点がない項目では空欄でOK
Đã điền cho các mục có vấn đề chưa?
※ Những mục không có vấn đề thì có thể để trống",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,7,"スプリントレビュー準備
Chuẩn bị Sprint Review","説明担当、デモ担当、書記、スプリントゴール達成度、スプリントゴール達成度の理由を入力したか
Đã điền đầy đủ thông tin về: người phụ trách giải thích, người phụ trách demo, người memo, mức độ đạt mục tiêu sprint và lý do của mức độ đạt mục tiêu sprint hay chưa?",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,8,"スプリントレビュー準備
Chuẩn bị Sprint Review","スプリントゴール達成度とスプリントゴール達成度の理由が、スプリントバックログの進捗に照らして妥当なものになっているか
Mức độ đạt mục tiêu sprint và lý do của mức độ đạt đó có hợp lý hay không khi đối chiếu với tiến độ của Sprint Backlog",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,9,"スペルチェック
Kiểm tra chính tả","表記の誤りはないか
Có đảm bảo không có lỗi chính tả hoặc ghi sai không?",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,10,"表記ゆれ
Sự thống nhất về cách ghi","仕様書・プロダクトバックログと同じ意味の言葉を違う表記で記載していないか
Có đảm bảo các từ cùng nghĩa với các từ trong tài liệu yêu cầu và product backlog không bị ghi bằng từ khác không?",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,11,"言語
Ngôn ngữ","日本語とベトナム語の記載があるか
Có ghi đầy đủ cả tiếng Nhật và tiếng Việt không?",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,12,"体裁
Layout","空欄や罫線の破壊等がないか、必要な情報が見やすい状態になっているか
Các ô đều được điền đầy đủ, đường kẻ bảng nguyên vẹn, và các thông tin quan trọng được hiển thị dễ nhìn không?",False,False,False,False,False,False,,,,,,,,,,,,,,,,,
,13,"説明準備
Chuẩn bị giải thích","全タスクの進捗状況と問題点を確認し、わかりやすく説明する準備をしたか
Đã kiểm tra tiến độ và vấn đề của tất cả task, và chuẩn bị nội dung giải thích dễ hiểu chưa?",False,,False,,False,,,,,,,,,,,,,,,,,,
,14,"デモ準備
Chuẩn bị demo","スプリントゴール達成、プロダクトバックログの受入条件達成を証明するためのデモを準備したか
Đã chuẩn bị phần demo để chứng minh đạt mục tiêu Sprint và thỏa mãn điều kiện chấp nhận của Product Backlog chưa?",False,,False,,False,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
